,loss,mean_squared_error,val_loss,val_mean_squared_error
0,12.01826985242719,12.018269878880616,8.317486203267382,8.317486030947247
1,2.6236984022528405,2.623698423694167,0.9849191740014137,0.9849191416092553
2,0.8719107218300429,0.8719107221982495,0.8415605025264524,0.8415605160916292
3,0.7857902524126374,0.7857902484368982,0.7971065880463071,0.797106579907201
4,0.7296170354113695,0.7296170360049902,0.771061585403291,0.7710615962554324
5,0.6793631823207287,0.6793631794047078,0.7508085279320168,0.7508085333580875
6,0.6311445635867491,0.6311445641579191,0.7393478894597207,0.7393478703863404
7,0.5845767486457276,0.5845767492995193,0.7323792538664291,0.7323792348751816
8,0.5401526094812586,0.5401526086357291,0.7322066057977313,0.7322066111416691
9,0.49703109491440356,0.4970310941290448,0.7359102172851987,0.7359102172851987
10,0.45627249572371803,0.4562724953366514,0.7411768812282661,0.7411768893673721
11,0.4180959038823575,0.4180959053929042,0.7509847751759358,0.7509847778889711
12,0.38308327193195374,0.383083271259302,0.7615765101825809,0.7615765046743773
