,loss,mean_squared_error,val_loss,val_mean_squared_error
0,11.925449519828991,11.925449466112429,6.9627054765520455,6.962705442681495
1,2.110628521767783,2.1106285357852537,0.96824780447661,0.9682478029558265
2,0.876804343456684,0.8768043407436252,0.8450554079038066,0.8450554091781914
3,0.7970153832969623,0.7970153820911584,0.8020756312803241,0.8020756352677443
4,0.7477280955024166,0.7477280941458871,0.775412647433878,0.7754126527778158
5,0.7067106978186181,0.7067106949548337,0.7598314752164149,0.7598314792038351
6,0.6695247190313045,0.6695247160848714,0.7481373507706183,0.748137353155122
7,0.6344557359542613,0.6344557329397515,0.7418220745206764,0.741822081138999
8,0.5992123915931485,0.5992123912916976,0.7387408371283679,0.7387408383206198
9,0.56387596439167,0.5638759658308481,0.739022204371173,0.7390221935190318
10,0.527715000088821,0.5277150024250661,0.7405128683806281,0.7405128601593892
11,0.4911388175198446,0.4911388190270995,0.7442676733164023,0.7442676663695481
12,0.4548089434712452,0.4548089433205197,0.7512573378136006,0.7512573444319232
